Name,Description,Organization,Platform,Version,Type,Price,Link,Image,Downloads,Review Rating
Star Horizon,"Journey through the cosmos, upgrade your ship and have fun fighting epic battles. Let the journey in cosmos begin! Entertain yourself with this epic galactic shooter!",Orbital Knight,"Android, iOS",2.3.0,game,3.99,https://play.google.com/store/apps/details?id=com.tabascointeractive.starhorizon,,10000+,4.3
Facebook,"Keeping up with friends is faster and easier than ever. Share updates and photos, engage with friends and Pages, and stay connected to communities important to you.",Facebook,"Android, iOS",195.3.1.92,social media,free,https://play.google.com/store/apps/details?id=com.facebook.katana,,5000000000+,4.1
ESPN,"Watch thousands of live events and shows from the ESPN networks plus get scores, on-demand news, highlights, and expert analysis.",Disney,"Android, iOS",66.9.0.41,media,free,https://play.google.com/store/apps/details?id=com.espn.score_center,,50000000+,3.7
Pandora,"Listen to songs hand-picked by some of the top athletes in the world on UNINTERRUPTED Radio. Their music, their vibes, their channel.",Pandora,"Android, iOS",74.5.1.2,music,free,https://play.google.com/store/apps/details?id=com.pandora.android,,100000000+,4.2
Bridge Race,"Collect logs of your own color, place them on a bridge of your choice. Don't let others build on your bridge!",Supersonic Studios,"Android, iOS",2.1.9,game,free,https://play.google.com/store/apps/details?id=com.Garawell.BridgeRace,,10000000+,3.6
Clash of Clans,"Join millions of players worldwide as you build your village, raise a clan, and compete in epic Clan Wars!",Supercell,"Android, iOS",14.0.6,game,free,https://play.google.com/store/apps/details?id=com.supercell.clashofclans,,500000000+,4.5
HBO Max,"HBO Max is the streaming platform that bundles all of HBO together with even more of your favorite TV series, blockbuster movies, plus new Max Originals.",WarnerMedia,"Android, iOS",5.2.89,media,free,https://play.google.com/store/apps/details?id=com.hbo.hbonow,,10000000+,3.7
